,Entered Time,Left Time
109,2021-04-24 22:50:42.857373,2021-04-24 22:50:42.920645
110,2021-04-24 22:50:42.984915,2021-04-24 22:50:43.051390
111,2021-04-24 22:50:43.113296,2021-04-24 22:50:43.913410
112,2021-04-24 22:50:44.119144,2021-04-24 22:50:45.125035
113,2021-04-24 22:50:45.178758,2021-04-24 22:50:45.241723
114,2021-04-24 22:50:45.384660,2021-04-24 22:50:45.449514
116,2021-04-24 22:56:38.037155,2021-04-24 22:56:38.370723
117,2021-04-24 22:56:39.444074,2021-04-24 22:56:41.252162
118,2021-04-24 22:56:41.383731,2021-04-24 22:56:43.254614
119,2021-04-24 22:56:44.597401,2021-04-24 22:56:45.516453
120,2021-04-24 22:56:45.732344,2021-04-24 22:56:46.992521
121,2021-04-24 22:56:47.457428,2021-04-24 22:56:47.457428
123,2021-04-24 22:59:58.003068,2021-04-24 22:59:59.086843
124,2021-04-24 23:00:00.560715,2021-04-24 23:00:01.691534
125,2021-04-24 23:00:03.226653,2021-04-24 23:00:03.559659
127,2021-04-24 23:01:46.309067,2021-04-24 23:01:46.841886
128,2021-04-24 23:01:47.661770,2021-04-24 23:01:47.979407
129,2021-04-24 23:01:48.920600,2021-04-24 23:01:49.523816
131,2021-04-24 23:02:50.635207,2021-04-24 23:02:50.836204
132,2021-04-24 23:02:51.842339,2021-04-24 23:02:52.043813
133,2021-04-24 23:02:52.912101,2021-04-24 23:02:53.312991
135,2021-04-24 23:06:49.450227,2021-04-24 23:06:50.190178
136,2021-04-24 23:06:51.334111,2021-04-24 23:06:52.134142
137,2021-04-24 23:06:53.266251,2021-04-24 23:06:53.405142
139,2021-04-24 23:09:53.373047,2021-04-24 23:09:53.831029
140,2021-04-24 23:09:54.627905,2021-04-24 23:09:54.697323
141,2021-04-24 23:09:55.028927,2021-04-24 23:09:55.361139
142,2021-04-24 23:09:56.381450,2021-04-24 23:09:57.039323
144,2021-04-24 23:47:33.682799,2021-04-24 23:47:35.006004
145,2021-04-24 23:47:35.624397,2021-04-24 23:47:36.091412
146,2021-04-24 23:47:36.545124,2021-04-24 23:47:37.766933
147,2021-04-24 23:47:37.835849,2021-04-24 23:47:37.952645
